Day,Number of Bicycle Hires,Month,Number of Bicycle Hires,Year,Number of Bicycle Hires,Month,Average Hire Time (mins)
30/07/2010,6897,Jul-10,12461,2010,"2,180,813",Jul-10,17
31/07/2010,5564,Aug-10,341203,2011,"7,142,449",Aug-10,17
01/08/2010,4303,Sep-10,540859,2012,"9,519,283",Sep-10,15
02/08/2010,6642,Oct-10,544412,2013,"8,045,459",Oct-10,15
03/08/2010,7966,Nov-10,456304,2014,"10,023,897",Nov-10,14
04/08/2010,7893,Dec-10,285574,2015,"1,132,941",Dec-10,17
05/08/2010,8724,Jan-11,403178,Grand Total,"37,495,564",Jan-11,16
06/08/2010,9797,Feb-11,398292,,,Feb-11,17
07/08/2010,6631,Mar-11,556155,,,Mar-11,20
08/08/2010,7864,Apr-11,673639,,,Apr-11,27
09/08/2010,6191,May-11,722072,,,May-11,15
10/08/2010,4802,Jun-11,638717,,,Jun-11,16
11/08/2010,14013,Jul-11,708454,,,Jul-11,16
12/08/2010,13080,Aug-11,642440,,,Aug-11,18
13/08/2010,12151,Sep-11,684780,,,Sep-11,17
14/08/2010,9195,Oct-11,708802,,,Oct-11,17
15/08/2010,10928,Nov-11,597191,,,Nov-11,16
16/08/2010,15384,Dec-11,408729,,,Dec-11,19
17/08/2010,15396,Jan-12,494325,,,Jan-12,17
18/08/2010,16062,Feb-12,481826,,,Feb-12,17
19/08/2010,17170,Mar-12,818209,,,Mar-12,21
20/08/2010,16462,Apr-12,649473,,,Apr-12,21
21/08/2010,11719,May-12,926952,,,May-12,22
22/08/2010,10129,Jun-12,858805,,,Jun-12,22
23/08/2010,12935,Jul-12,1014174,,,Jul-12,23
24/08/2010,17006,Aug-12,1163171,,,Aug-12,23
25/08/2010,10062,Sep-12,1015145,,,Sep-12,20
26/08/2010,9875,Oct-12,856866,,,Oct-12,18
27/08/2010,12854,Nov-12,726893,,,Nov-12,17
28/08/2010,10116,Dec-12,513444,,,Dec-12,19
29/08/2010,7811,Jan-13,565589,,,Jan-13,17
30/08/2010,10534,Feb-13,516588,,,Feb-13,16
31/08/2010,17508,Mar-13,504611,,,Mar-13,16
01/09/2010,19332,Apr-13,658230,,,Apr-13,20
02/09/2010,20909,May-13,749934,,,May-13,22
03/09/2010,20113,Jun-13,813631,,,Jun-13,22
04/09/2010,14373,Jul-13,998755,,,Jul-13,25
05/09/2010,12924,Aug-13,904155,,,Aug-13,25
06/09/2010,16841,Sep-13,701724,,,Sep-13,19
07/09/2010,25361,Oct-13,674154,,,Oct-13,17
08/09/2010,18727,Nov-13,514146,,,Nov-13,15
09/09/2010,20774,Dec-13,443942,,,Dec-13,18
10/09/2010,19532,Jan-14,493870,,,Jan-14,15
11/09/2010,13383,Feb-14,522940,,,Feb-14,17
12/09/2010,14002,Mar-14,757864,against last month,against last year,Mar-14,20
13/09/2010,18037,Apr-14,805571,6.29%,22.38%,Apr-14,21
14/09/2010,17026,May-14,890709,10.57%,18.77%,May-14,21
15/09/2010,20890,Jun-14,1052573,18.17%,29.37%,Jun-14,21
16/09/2010,20433,Jul-14,1183182,12.41%,18.47%,Jul-14,22
17/09/2010,20488,Aug-14,1055206,-10.82%,16.71%,Aug-14,22
18/09/2010,15495,Sep-14,1058684,0.33%,50.87%,Sep-14,19
19/09/2010,11492,Oct-14,907998,-14.23%,34.69%,Oct-14,18
20/09/2010,20169,Nov-14,715447,-21.21%,39.15%,Nov-14,16
21/09/2010,22906,Dec-14,579853,-18.95%,30.61%,Dec-14,18
22/09/2010,23905,Jan-15,583663,0.66%,18.18%,Jan-15,15
23/09/2010,17729,Feb-15,549278,-5.89%,5.04%,Feb-15,15
24/09/2010,18053,,,,,,
25/09/2010,14010,,,,,,
26/09/2010,7890,,,,,,
27/09/2010,18789,,,,,,
28/09/2010,21554,,,,,,
29/09/2010,13899,,,,,,
30/09/2010,21823,,,,,,
01/10/2010,11424,,,,,,
02/10/2010,10704,,,,,,
03/10/2010,8237,,,,,,
04/10/2010,23688,,,,,,
05/10/2010,22054,,,,,,
06/10/2010,20114,,,,,,
07/10/2010,24072,,,,,,
08/10/2010,22886,,,,,,
09/10/2010,14463,,,,,,
10/10/2010,14871,,,,,,
11/10/2010,21986,,,,,,
12/10/2010,23016,,,,,,
13/10/2010,22251,,,,,,
14/10/2010,21582,,,,,,
15/10/2010,20934,,,,,,
16/10/2010,12735,,,,,,
17/10/2010,12764,,,,,,
18/10/2010,20464,,,,,,
19/10/2010,17964,,,,,,
20/10/2010,20750,,,,,,
21/10/2010,21161,,,,,,
22/10/2010,20164,,,,,,
23/10/2010,11584,,,,,,
24/10/2010,11259,,,,,,
25/10/2010,18430,,,,,,
26/10/2010,13950,,,,,,
27/10/2010,19559,,,,,,
28/10/2010,19995,,,,,,
29/10/2010,19119,,,,,,
30/10/2010,13493,,,,,,
31/10/2010,8739,,,,,,
01/11/2010,19785,,,,,,
02/11/2010,21754,,,,,,
03/11/2010,27964,,,,,,
04/11/2010,22424,,,,,,
05/11/2010,15815,,,,,,
06/11/2010,11877,,,,,,
07/11/2010,9331,,,,,,
08/11/2010,11328,,,,,,
09/11/2010,16026,,,,,,
10/11/2010,19767,,,,,,
11/11/2010,12901,,,,,,
12/11/2010,14534,,,,,,
13/11/2010,12123,,,,,,
14/11/2010,6235,,,,,,
15/11/2010,18086,,,,,,
16/11/2010,18764,,,,,,
17/11/2010,17005,,,,,,
18/11/2010,15974,,,,,,
19/11/2010,18545,,,,,,
20/11/2010,10806,,,,,,
21/11/2010,8356,,,,,,
22/11/2010,17258,,,,,,
23/11/2010,17427,,,,,,
24/11/2010,18628,,,,,,
25/11/2010,16822,,,,,,
26/11/2010,16092,,,,,,
27/11/2010,7867,,,,,,
28/11/2010,6866,,,,,,
29/11/2010,16681,,,,,,
30/11/2010,9263,,,,,,
01/12/2010,9848,,,,,,
02/12/2010,7356,,,,,,
03/12/2010,8264,,,,,,
04/12/2010,7857,,,,,,
05/12/2010,8321,,,,,,
06/12/2010,13855,,,,,,
07/12/2010,15033,,,,,,
08/12/2010,15225,,,,,,
09/12/2010,16171,,,,,,
10/12/2010,15602,,,,,,
11/12/2010,10328,,,,,,
12/12/2010,8585,,,,,,
13/12/2010,14997,,,,,,
14/12/2010,15550,,,,,,
15/12/2010,13412,,,,,,
16/12/2010,10833,,,,,,
17/12/2010,10366,,,,,,
18/12/2010,2805,,,,,,
19/12/2010,2764,,,,,,
20/12/2010,6876,,,,,,
21/12/2010,7879,,,,,,
22/12/2010,9718,,,,,,
23/12/2010,8867,,,,,,
24/12/2010,5402,,,,,,
25/12/2010,5621,,,,,,
26/12/2010,4383,,,,,,
27/12/2010,3971,,,,,,
28/12/2010,3763,,,,,,
29/12/2010,7010,,,,,,
30/12/2010,7464,,,,,,
31/12/2010,7448,,,,,,
01/01/2011,4555,,,,,,
02/01/2011,6250,,,,,,
03/01/2011,7262,,,,,,
04/01/2011,13430,,,,,,
05/01/2011,13757,,,,,,
06/01/2011,9595,,,,,,
07/01/2011,9294,,,,,,
08/01/2011,9338,,,,,,
09/01/2011,10558,,,,,,
10/01/2011,16058,,,,,,
11/01/2011,16412,,,,,,
12/01/2011,13894,,,,,,
13/01/2011,15911,,,,,,
14/01/2011,14834,,,,,,
15/01/2011,11851,,,,,,
16/01/2011,10471,,,,,,
17/01/2011,10835,,,,,,
18/01/2011,17703,,,,,,
19/01/2011,18350,,,,,,
20/01/2011,17957,,,,,,
21/01/2011,16509,,,,,,
22/01/2011,10658,,,,,,
23/01/2011,9911,,,,,,
24/01/2011,17193,,,,,,
25/01/2011,17045,,,,,,
26/01/2011,16396,,,,,,
27/01/2011,16519,,,,,,
28/01/2011,15538,,,,,,
29/01/2011,9379,,,,,,
30/01/2011,9455,,,,,,
31/01/2011,16260,,,,,,
01/02/2011,16331,,,,,,
02/02/2011,18102,,,,,,
03/02/2011,15593,,,,,,
04/02/2011,14938,,,,,,
05/02/2011,8442,,,,,,
06/02/2011,9437,,,,,,
07/02/2011,16537,,,,,,
08/02/2011,19829,,,,,,
09/02/2011,18197,,,,,,
10/02/2011,11496,,,,,,
11/02/2011,16070,,,,,,
12/02/2011,12855,,,,,,
13/02/2011,7034,,,,,,
14/02/2011,17836,,,,,,
15/02/2011,15667,,,,,,
16/02/2011,18989,,,,,,
17/02/2011,18938,,,,,,
18/02/2011,17460,,,,,,
19/02/2011,6250,,,,,,
20/02/2011,7882,,,,,,
21/02/2011,13720,,,,,,
22/02/2011,15948,,,,,,
23/02/2011,12936,,,,,,
24/02/2011,19230,,,,,,
25/02/2011,18634,,,,,,
26/02/2011,7749,,,,,,
27/02/2011,8349,,,,,,
28/02/2011,13843,,,,,,
01/03/2011,15774,,,,,,
02/03/2011,16929,,,,,,
03/03/2011,16576,,,,,,
04/03/2011,16971,,,,,,
05/03/2011,9847,,,,,,
06/03/2011,7142,,,,,,
07/03/2011,16192,,,,,,
08/03/2011,17240,,,,,,
09/03/2011,18494,,,,,,
10/03/2011,18794,,,,,,
11/03/2011,19074,,,,,,
12/03/2011,15488,,,,,,
13/03/2011,10526,,,,,,
14/03/2011,19451,,,,,,
15/03/2011,19568,,,,,,
16/03/2011,19643,,,,,,
17/03/2011,20036,,,,,,
18/03/2011,14612,,,,,,
19/03/2011,17801,,,,,,
20/03/2011,14694,,,,,,
21/03/2011,20710,,,,,,
22/03/2011,21792,,,,,,
23/03/2011,23837,,,,,,
24/03/2011,23518,,,,,,
25/03/2011,24343,,,,,,
26/03/2011,16095,,,,,,
27/03/2011,17550,,,,,,
28/03/2011,21602,,,,,,
29/03/2011,22080,,,,,,
30/03/2011,18945,,,,,,
31/03/2011,20831,,,,,,
01/04/2011,22048,,,,,,
02/04/2011,19829,,,,,,
03/04/2011,17294,,,,,,
04/04/2011,20949,,,,,,
05/04/2011,16690,,,,,,
06/04/2011,25597,,,,,,
07/04/2011,25451,,,,,,
08/04/2011,26622,,,,,,
09/04/2011,22323,,,,,,
10/04/2011,21346,,,,,,
11/04/2011,22204,,,,,,
12/04/2011,23651,,,,,,
13/04/2011,18909,,,,,,
14/04/2011,22346,,,,,,
15/04/2011,22974,,,,,,
16/04/2011,19632,,,,,,
17/04/2011,22009,,,,,,
18/04/2011,24032,,,,,,
19/04/2011,27914,,,,,,
20/04/2011,27934,,,,,,
21/04/2011,26547,,,,,,
22/04/2011,23719,,,,,,
23/04/2011,19182,,,,,,
24/04/2011,21313,,,,,,
25/04/2011,21669,,,,,,
26/04/2011,22038,,,,,,
27/04/2011,24349,,,,,,
28/04/2011,23794,,,,,,
29/04/2011,19700,,,,,,
30/04/2011,21574,,,,,,
01/05/2011,19489,,,,,,
02/05/2011,18126,,,,,,
03/05/2011,23786,,,,,,
04/05/2011,26183,,,,,,
05/05/2011,23620,,,,,,
06/05/2011,28971,,,,,,
07/05/2011,22274,,,,,,
08/05/2011,21011,,,,,,
09/05/2011,27172,,,,,,
10/05/2011,29417,,,,,,
11/05/2011,27205,,,,,,
12/05/2011,23461,,,,,,
13/05/2011,23991,,,,,,
14/05/2011,21100,,,,,,
15/05/2011,19097,,,,,,
16/05/2011,24620,,,,,,
17/05/2011,25464,,,,,,
18/05/2011,23068,,,,,,
19/05/2011,27534,,,,,,
20/05/2011,27523,,,,,,
21/05/2011,24408,,,,,,
22/05/2011,19348,,,,,,
23/05/2011,24268,,,,,,
24/05/2011,27768,,,,,,
25/05/2011,28708,,,,,,
26/05/2011,18055,,,,,,
27/05/2011,22907,,,,,,
28/05/2011,15693,,,,,,
29/05/2011,18396,,,,,,
30/05/2011,16097,,,,,,
31/05/2011,23312,,,,,,
01/06/2011,26054,,,,,,
02/06/2011,26920,,,,,,
03/06/2011,26641,,,,,,
04/06/2011,15233,,,,,,
05/06/2011,8420,,,,,,
06/06/2011,13812,,,,,,
07/06/2011,22378,,,,,,
08/06/2011,23013,,,,,,
09/06/2011,25061,,,,,,
10/06/2011,20141,,,,,,
11/06/2011,21059,,,,,,
12/06/2011,6061,,,,,,
13/06/2011,23978,,,,,,
14/06/2011,28889,,,,,,
15/06/2011,25643,,,,,,
16/06/2011,17566,,,,,,
17/06/2011,15723,,,,,,
18/06/2011,13721,,,,,,
19/06/2011,17092,,,,,,
20/06/2011,20101,,,,,,
21/06/2011,26780,,,,,,
22/06/2011,22745,,,,,,
23/06/2011,24559,,,,,,
24/06/2011,22137,,,,,,
25/06/2011,17944,,,,,,
26/06/2011,23483,,,,,,
27/06/2011,26243,,,,,,
28/06/2011,21950,,,,,,
